<2024-03-29 11:08:24,022> [DEBUG]: Using proactor: IocpProactor
<2024-03-29 11:09:04,797> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:09:05,790> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:09:06,141> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:09:07,173> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:09:07,566> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:09:08,560> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:09:09,033> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:09:10,031> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:09:10,429> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:09:11,433> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:09:11,829> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:09:12,860> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:09:13,254> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:09:14,280> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:09:14,679> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:09:15,699> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:09:16,093> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:09:17,082> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:09:17,483> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:09:18,473> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:09:18,870> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:09:19,864> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:09:20,260> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:09:21,255> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:09:21,605> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:09:22,596> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:09:22,992> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:09:23,986> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:09:24,462> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:09:25,457> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:09:25,912> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:09:26,908> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:09:27,309> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:09:28,305> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:09:28,700> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:09:29,688> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:09:30,084> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:09:31,095> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:09:31,490> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:09:32,483> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:09:32,873> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:09:33,870> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:09:34,268> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:09:35,285> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:09:35,680> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:09:36,686> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:09:37,146> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:09:38,170> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:09:38,562> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:09:39,573> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:09:39,974> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:09:40,999> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:09:41,477> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:09:42,495> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:09:42,893> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:09:43,917> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:09:44,317> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:09:45,309> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:09:45,704> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:09:46,706> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:09:47,105> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:09:48,118> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:09:48,516> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:09:49,507> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:09:49,906> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:09:50,901> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:09:51,300> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:09:52,301> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:09:52,652> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:09:53,654> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:09:54,048> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:09:55,062> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:09:55,461> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:09:56,464> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:09:56,859> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:09:57,858> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:09:58,255> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:09:59,259> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:09:59,655> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:10:00,652> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:10:01,049> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:10:02,056> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:10:02,453> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:10:03,439> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:10:03,894> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:10:04,916> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:10:05,328> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:10:06,313> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:10:06,706> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:10:07,707> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:10:08,071> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:10:09,060> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:10:09,458> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:10:10,483> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:10:10,943> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:10:11,934> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:10:12,329> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:10:13,354> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:10:13,751> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:10:14,760> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:10:15,158> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:10:16,149> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:10:16,545> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:10:17,541> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:10:17,940> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:10:18,947> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:10:19,340> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:10:20,358> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:10:20,760> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:10:21,774> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:10:22,172> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:10:23,155> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:10:23,547> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:10:24,543> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:10:24,939> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:10:25,934> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:10:26,333> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:10:27,357> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:10:27,770> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:10:28,769> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:10:29,168> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:10:30,164> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:10:30,563> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:10:31,555> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:10:31,948> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:10:32,930> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:10:33,324> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:10:34,323> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:10:34,797> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:10:35,792> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:10:36,220> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:10:37,250> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:10:37,651> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:10:38,667> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:10:39,065> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:10:40,062> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:10:40,463> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:10:41,483> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:10:41,881> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:10:42,877> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:10:43,293> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:10:44,289> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:10:44,743> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:10:45,733> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:10:46,129> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:10:47,156> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:10:47,631> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:10:48,653> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:10:49,049> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:10:50,049> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:10:50,446> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:10:51,444> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:10:51,844> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:10:52,871> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:10:53,271> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:10:54,267> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:10:54,664> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:10:55,663> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:10:56,064> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:10:57,059> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:10:57,456> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:10:58,484> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:10:58,880> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:10:59,876> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:11:00,274> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:11:01,277> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:11:01,641> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:11:02,669> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:11:03,067> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:11:04,062> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:11:04,544> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:11:05,533> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:11:05,932> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:11:06,930> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:11:07,281> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:11:08,270> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:11:08,666> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:11:09,661> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:11:10,143> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:11:11,166> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:11:11,567> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:11:12,561> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:11:12,956> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:11:13,985> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:11:14,385> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:11:15,405> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:11:15,807> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:11:16,827> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:11:17,225> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:11:18,220> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:11:18,619> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:11:19,617> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:11:20,014> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:11:21,007> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:11:21,482> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:11:22,476> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:11:22,876> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:11:23,876> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:11:24,275> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:11:25,280> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:11:25,761> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:11:26,777> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:11:27,143> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:11:28,164> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:11:28,572> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:11:29,574> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:11:29,973> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:11:31,000> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
<2024-03-29 11:11:31,396> [DEBUG]: services.scheduler.process_files: 0 files to processed
<2024-03-29 11:11:32,414> [DEBUG]: database.connector.fetchall: query(SELECT filename FROM files WHERE status != 'Обработано';)
